method,SNR_mean,SNR_std,MSE_mean,MSE_std,RMSE_mean,RMSE_std,PSNR_mean,PSNR_std,CP_mean,CP_std,MSSIM_mean,MSSIM_std,time_s_mean,time_s_std
MLEM,3.5991593508497712,0.04244528758478028,0.02566954918525505,0.00025087049296403444,0.16021528087678547,0.0007829168715715873,15.906024998292434,0.042445287584779834,0.5711846245190619,0.0009636119882430738,0.5236816000179727,0.0005903407043029718,4.784163236618042,0.026774168014526367
MLEM+TV,5.616165002191131,0.10135442759301938,0.01613671740112654,0.00037652582720621233,0.12702173312981713,0.0014821315137520663,17.923030649633795,0.10135442759301938,0.4660556303045891,0.015570700699182372,0.7386617469248495,0.001989288311576687,28.026787281036377,0.7823483943939209
MLEM+AD,5.740270888550818,0.10404826299351244,0.015682343920293863,0.0003756456942147629,0.12522018247157818,0.001499940691669352,18.04713653599348,0.10404826299351377,0.461334961636077,0.01165865061638463,0.6985633392545086,0.0020587767594162365,6.499599575996399,0.06137716770172119
MLEM+FuzzyAD,2.980317207682967,0.5335448242609593,0.029822969798233,0.003645526228609128,0.17236920907540498,0.010574760562410968,15.28718285512563,0.5335448242609591,0.48351636897841366,0.02158374032121982,0.7026841837499302,0.004868816254811115,6.803690314292908,0.039846062660217285
PnP-ADMM(TV),5.895234701908491,0.7218551710254828,0.015337749501327796,0.002526117724894638,0.12342212893244156,0.010233649940835872,18.202100349351156,0.7218551710254832,0.47774056330061954,0.05973732272865109,0.7316491848695216,0.0038851273156584876,32.85760414600372,0.8840385675430298
MLEM+FONF,6.674318805251554,0.001271681826959803,0.012643915167703662,3.7023350171003916e-06,0.11244516395416185,1.646284680863891e-05,18.981184452694215,0.0012716818269584707,0.6601927247684246,0.00257315380022638,0.6035490129337433,0.002980182547156207,6.293945789337158,0.056835174560546875
